page_number,segment_count,has_items,item_ids,standards,years,question_numbers
1,0,no,,,,
2,0,no,,,,
3,0,no,,,,
4,1,yes,g5_science_5.6A_2025_q7,5.6(A),2025,7
5,1,yes,g5_science_5.6A_2025_q16,5.6(A),2025,16
6,1,yes,g5_science_5.5A_2024_q3,5.5(A),2024,3
7,1,yes,g5_science_5.5A_2024_q25,5.5(A),2024,25
8,1,yes,g5_science_5.5A_2023_q3,5.5(A),2023,3
9,1,yes,g5_science_5.5A_2023_q24,5.5(A),2023,24
10,1,yes,g5_science_5.5A_2022_q4,5.5(A),2022,4
11,1,yes,g5_science_5.5A_2022_q16,5.5(A),2022,16
12,1,yes,g5_science_5.5A_2022_q31,5.5(A),2022,31
13,1,yes,g5_science_5.5A_2022_q34,5.5(A),2022,34
14,1,yes,g5_science_5.5A_2021_q4,5.5(A),2021,4
15,1,yes,g5_science_5.5A_2021_q16,5.5(A),2021,16
16,1,yes,g5_science_5.5A_2021_q27,5.5(A),2021,27
17,1,yes,g5_science_5.5A_2019_q3,5.5(A),2019,3
18,1,yes,g5_science_5.5A_2019_q22,5.5(A),2019,22
19,1,yes,g5_science_5.5A_2019_q30,5.5(A),2019,30
20,1,yes,g5_science_5.6B_2025_q19,5.6(B),2025,19
21,1,yes,g5_science_5.6B_2024_q17,5.6(B),2024,17
22,1,yes,g5_science_5.6B_2023_q20,5.6(B),2023,20
23,1,yes,g5_science_5.6B_2022_q23,5.6(B),2022,23
24,1,yes,g5_science_5.6B_2021_q32,5.6(B),2021,32
25,1,yes,g5_science_5.6B_2019_q7,5.6(B),2019,7
26,1,yes,g5_science_5.6C_2025_q12,5.6(C),2025,12
27,1,yes,g5_science_5.6C_2025_q21,5.6(C),2025,21
28,1,yes,g5_science_5.6C_2024_q31,5.6(C),2024,31
29,1,yes,g5_science_5.6C_2023_q1,5.6(C),2023,1
30,1,yes,g5_science_5.6C_2022_q18,5.6(C),2022,18
31,1,yes,g5_science_5.6C_2021_q21,5.6(C),2021,21
32,1,yes,g5_science_5.6C_2019_q4,5.6(C),2019,4
33,1,yes,g5_science_3.6C_2025_q8,3.6(C),2025,8
34,1,yes,g5_science_3.5C_2023_q6,3.5(C),2023,6
35,1,yes,g5_science_3.5C_2021_q11,3.5(C),2021,11
36,1,yes,g5_science_3.5C_2019_q15,3.5(C),2019,15
37,0,no,,,,
38,1,yes,g5_science_5.7B_2025_q28,5.7(B),2025,28
39,1,yes,g5_science_5.7B_2024_q19,5.7(B),2024,19
40,1,yes,g5_science_5.7B_2023_q15,5.7(B),2023,15
41,1,yes,g5_science_5.7B_2022_q36,5.7(B),2022,36
42,1,yes,g5_science_5.7B_2021_q29,5.7(B),2021,29
43,1,yes,g5_science_5.7B_2019_q11,5.7(B),2019,11
44,1,yes,g5_science_3.7B_2025_q31,3.7(B),2025,31
45,1,yes,g5_science_3.7B_2024_q26,3.7(B),2024,26
46,1,yes,g5_science_3.7B_2023_q14,3.7(B),2023,14
47,1,yes,g5_science_3.7B_2022_q33,3.7(B),2022,33
48,1,yes,g5_science_3.7B_2021_q5,3.7(B),2021,5
49,1,yes,g5_science_3.7B_2019_q6,3.7(B),2019,6
50,0,no,,,,
51,1,yes,g5_science_5.8B_2025_q11,5.8(B),2025,11
52,1,yes,g5_science_5.8B_2025_q18,5.8(B),2025,18
53,1,yes,g5_science_5.8B_2025_q22,5.8(B),2025,22
54,1,yes,g5_science_5.8B_2024_q5,5.8(B),2024,5
55,1,yes,g5_science_5.8B_2024_q18,5.8(B),2024,18
56,1,yes,g5_science_5.8B_2023_q5,5.8(B),2023,5
57,1,yes,g5_science_5.8B_2023_q29,5.8(B),2023,29
