page_number,segment_count,has_items,item_ids,standards,years,question_numbers
1,0,no,,,,
2,0,no,,,,
3,0,no,,,,
4,1,yes,g5_math_5.3A_2016_q2,5.3(A),2016,2
5,1,yes,g5_math_5.3K_2016_q24,5.3(K),2016,24
6,1,yes,g5_math_5.4F_2022_q23,5.4(F),2022,23
7,1,yes,g5_math_5.3B_2025_q32,5.3(B),2025,32
8,2,yes,g5_math_5.3B_2023_q25; g5_math_5.3B_2021_q18,5.3(B); 5.3(B),2023; 2021,25; 18
9,2,yes,g5_math_5.3B_2017_q12; g5_math_5.3B_2016_q27,5.3(B); 5.3(B),2017; 2016,12; 27
10,1,yes,g5_math_5.3C_2025_q34,5.3(C),2025,34
11,1,yes,g5_math_5.3C_2024_q2,5.3(C),2024,2
12,2,yes,g5_math_5.3C_2022_q21; g5_math_5.3C_2021_q5,5.3(C); 5.3(C),2022; 2021,21; 5
13,2,yes,g5_math_5.3C_2018_q20; g5_math_5.3C_2017_q22,5.3(C); 5.3(C),2018; 2017,20; 22
14,1,yes,g5_math_5.3C_2016_q33,5.3(C),2016,33
15,1,yes,g5_math_5.4E_2025_q12,5.4(E),2025,12
16,2,yes,g5_math_5.4E_2022_q35; g5_math_5.4E_2019_q8,5.4(E); 5.4(E),2022; 2019,35; 8
17,1,yes,g5_math_5.4E_2015_q2,5.4(E),2015,2
18,1,yes,g5_math_5.4F_2025_q15,5.4(F),2025,15
19,1,yes,g5_math_5.4F_2025_q33,5.4(F),2025,33
20,1,yes,g5_math_5.4F_2024_q18,5.4(F),2024,18
21,2,yes,g5_math_5.4F_2023_q2; g5_math_5.4F_2023_q28,5.4(F); 5.4(F),2023; 2023,2; 28
22,2,yes,g5_math_5.4F_2021_q19; g5_math_5.4F_2021_q33,5.4(F); 5.4(F),2021; 2021,19; 33
23,2,yes,g5_math_5.4F_2017_q16; g5_math_5.4F_2016_q49,5.4(F); 5.4(F),2017; 2016,16; 49
24,1,yes,g5_math_5.4F_2015_q3,5.4(F),2015,3
25,1,yes,g5_math_5.4B_2025_q6,5.4(B),2025,6
26,1,yes,g5_math_5.4B_2025_q20,5.4(B),2025,20
27,1,yes,g5_math_5.4B_2024_q5,5.4(B),2024,5
28,1,yes,g5_math_5.4B_2023_q5,5.4(B),2023,5
29,1,yes,g5_math_5.4B_2023_q17,5.4(B),2023,17
30,1,yes,g5_math_5.4B_2022_q16,5.4(B),2022,16
31,1,yes,g5_math_5.4B_2022_q33,5.4(B),2022,33
32,2,yes,g5_math_5.4B_2021_q3; g5_math_5.4B_2021_q21,5.4(B); 5.4(B),2021; 2021,3; 21
33,2,yes,g5_math_5.4B_2019_q11; g5_math_5.4B_2019_q36,5.4(B); 5.4(B),2019; 2019,11; 36
34,2,yes,g5_math_5.4B_2018_q18; g5_math_5.4B_2018_q31,5.4(B); 5.4(B),2018; 2018,18; 31
35,2,yes,g5_math_5.4B_2017_q14; g5_math_5.4B_2017_q26,5.4(B); 5.4(B),2017; 2017,14; 26
36,2,yes,g5_math_5.4B_2016_q14; g5_math_5.4B_2016_q30,5.4(B); 5.4(B),2016; 2016,14; 30
37,2,yes,g5_math_5.4B_2016_q41; g5_math_5.4B_2015_q12,5.4(B); 5.4(B),2016; 2015,41; 12
38,0,no,,,,
39,0,no,,,,
40,1,yes,g5_math_5.2A_2025_q10,5.2(A),2025,10
41,2,yes,g5_math_5.2A_2023_q4; g5_math_5.2A_2021_q6,5.2(A); 5.2(A),2023; 2021,4; 6
42,2,yes,g5_math_5.2A_2018_q22; g5_math_5.2A_2016_q5,5.2(A); 5.2(A),2018; 2016,22; 5
43,0,no,,,,
