page_number,segment_count,has_items,item_ids,standards,years,question_numbers
1,0,no,,,,
2,0,no,,,,
3,0,no,,,,
4,1,yes,g8_social-studies_8.1B_2021_q17,8.1(B),2021,17
5,1,yes,g8_social-studies_8.2A_2025_q1,8.2(A),2025,1
6,1,yes,g8_social-studies_8.2A_2024_q33,8.2(A),2024,33
7,2,yes,g8_social-studies_8.2A_2023_q6; g8_social-studies_8.2A_2022_q19,8.2(A); 8.2(A),2023; 2022,6; 19
8,2,yes,g8_social-studies_8.2A_2021_q37; g8_social-studies_8.2A_2019_q7,8.2(A); 8.2(A),2021; 2019,37; 7
9,1,yes,g8_social-studies_8.2A_2018_q6,8.2(A),2018,6
10,1,yes,g8_social-studies_8.2A_2017_q44,8.2(A),2017,44
11,1,yes,g8_social-studies_8.2A_2016_q31,8.2(A),2016,31
12,1,yes,g8_social-studies_8.2A_2014_q44,8.2(A),2014,44
13,1,yes,g8_social-studies_8.2B_2021_q24,8.2(B),2021,24
14,1,yes,g8_social-studies_8.2B_2017_q9,8.2(B),2017,9
15,1,yes,g8_social-studies_8.2B_2016_q17,8.2(B),2016,17
16,1,yes,g8_social-studies_8.2B_2015_q27,8.2(B),2015,27
17,1,yes,g8_social-studies_8.3A_2025_q12,8.3(A),2025,12
18,1,yes,g8_social-studies_8.3A_2024_q18,8.3(A),2024,18
19,1,yes,g8_social-studies_8.3A_2023_q25,8.3(A),2023,25
20,1,yes,g8_social-studies_8.3A_2022_q26,8.3(A),2022,26
21,1,yes,g8_social-studies_8.3A_2021_q3,8.3(A),2021,3
22,1,yes,g8_social-studies_8.3A_2019_q9,8.3(A),2019,9
23,1,yes,g8_social-studies_8.3A_2018_q14,8.3(A),2018,14
24,1,yes,g8_social-studies_8.3A_2017_q31,8.3(A),2017,31
25,1,yes,g8_social-studies_8.3A_2016_q15,8.3(A),2016,15
26,1,yes,g8_social-studies_8.3A_2015_q21,8.3(A),2015,21
27,1,yes,g8_social-studies_8.3A_2014_q27,8.3(A),2014,27
28,1,yes,g8_social-studies_8.3A_2013_q47,8.3(A),2013,47
29,1,yes,g8_social-studies_8.3B_2025_q4,8.3(B),2025,4
30,1,yes,g8_social-studies_8.3B_2022_q21,8.3(B),2022,21
31,1,yes,g8_social-studies_8.3B_2016_q50,8.3(B),2016,50
32,1,yes,g8_social-studies_8.3B_2013_q42,8.3(B),2013,42
33,1,yes,g8_social-studies_8.3C_2025_q18,8.3(C),2025,18
34,1,yes,g8_social-studies_8.3C_2023_q15,8.3(C),2023,15
35,1,yes,g8_social-studies_8.3C_2015_q52,8.3(C),2015,52
36,1,yes,g8_social-studies_8.3C_2014_q31,8.3(C),2014,31
37,1,yes,g8_social-studies_8.7D_2021_q19,8.7(D),2021,19
38,1,yes,g8_social-studies_8.10A_2023_q12,8.10(A),2023,12
39,1,yes,g8_social-studies_8.10B_2022_q32,8.10(B),2022,32
40,1,yes,g8_social-studies_8.10B_2019_q2,8.10(B),2019,2
41,1,yes,g8_social-studies_8.10B_2015_q44,8.10(B),2015,44
42,1,yes,g8_social-studies_8.10B_2013_q7,8.10(B),2013,7
43,1,yes,g8_social-studies_8.10C_2019_q18,8.10(C),2019,18
44,1,yes,g8_social-studies_8.11A_2024_q21,8.11(A),2024,21
45,1,yes,g8_social-studies_8.11A_2023_q10,8.11(A),2023,10
46,1,yes,g8_social-studies_8.11A_2022_q6,8.11(A),2022,6
47,1,yes,g8_social-studies_8.11A_2016_q33,8.11(A),2016,33
48,1,yes,g8_social-studies_8.11A_2015_q5,8.11(A),2015,5
49,1,yes,g8_social-studies_8.12A_2025_q10,8.12(A),2025,10
