page_number,segment_count,has_items,item_ids,standards,years,question_numbers
1,0,no,,,,
2,0,no,,,,
3,0,no,,,,
4,1,yes,g7_math_7.2A_2025_q3,7.2(A),2025,3
5,1,yes,g7_math_7.2A_2024_q3,7.2(A),2024,3
6,1,yes,g7_math_7.2A_2019_q10,7.2(A),2019,10
7,1,yes,g7_math_7.2A_2018_q37,7.2(A),2018,37
8,1,yes,g7_math_7.2A_2016_q29,7.2(A),2016,29
9,1,yes,g7_math_7.2A_2015_q1,7.2(A),2015,1
10,1,yes,g7_math_7.3A_2025_q23,7.3(A),2025,23
11,1,yes,g7_math_7.3A_2024_q2,7.3(A),2024,2
12,2,yes,g7_math_7.3A_2022_q12; g7_math_7.3A_2021_q10,7.3(A); 7.3(A),2022; 2021,12; 10
13,1,yes,g7_math_7.3A_2019_q24,7.3(A),2019,24
14,2,yes,g7_math_7.3A_2018_q30; g7_math_7.3A_2017_q23,7.3(A); 7.3(A),2018; 2017,30; 23
15,1,yes,g7_math_7.3A_2016_q25,7.3(A),2016,25
16,1,yes,g7_math_7.3B_2025_q11,7.3(B),2025,11
17,1,yes,g7_math_7.3B_2025_q36,7.3(B),2025,36
18,1,yes,g7_math_7.3B_2024_q5,7.3(B),2024,5
19,1,yes,g7_math_7.3B_2024_q24,7.3(B),2024,24
20,1,yes,g7_math_7.3B_2023_q14,7.3(B),2023,14
21,1,yes,g7_math_7.3B_2023_q31,7.3(B),2023,31
22,2,yes,g7_math_7.3B_2022_q9; g7_math_7.3B_2021_q7,7.3(B); 7.3(B),2022; 2021,9; 7
23,1,yes,g7_math_7.3B_2021_q24,7.3(B),2021,24
24,1,yes,g7_math_7.3B_2019_q1,7.3(B),2019,1
25,2,yes,g7_math_7.3B_2019_q21; g7_math_7.3B_2018_q17,7.3(B); 7.3(B),2019; 2018,21; 17
26,1,yes,g7_math_7.3B_2018_q35,7.3(B),2018,35
27,2,yes,g7_math_7.3B_2017_q5; g7_math_7.3B_2017_q36,7.3(B); 7.3(B),2017; 2017,5; 36
28,1,yes,g7_math_7.3B_2016_q8,7.3(B),2016,8
29,1,yes,g7_math_7.3B_2016_q21,7.3(B),2016,21
30,1,yes,g7_math_7.3B_2016_q37,7.3(B),2016,37
31,1,yes,g7_math_7.3B_2015_q5,7.3(B),2015,5
32,0,no,,,,
33,1,yes,g7_math_7.4A_2025_q4,7.4(A),2025,4
34,1,yes,g7_math_7.4A_2025_q31,7.4(A),2025,31
35,1,yes,g7_math_7.4A_2024_q16,7.4(A),2024,16
36,1,yes,g7_math_7.4A_2024_q30,7.4(A),2024,30
37,1,yes,g7_math_7.4A_2023_q9,7.4(A),2023,9
38,1,yes,g7_math_7.4A_2023_q23,7.4(A),2023,23
39,1,yes,g7_math_7.4A_2022_q15,7.4(A),2022,15
40,1,yes,g7_math_7.4A_2022_q23,7.4(A),2022,23
41,1,yes,g7_math_7.4A_2021_q14,7.4(A),2021,14
42,1,yes,g7_math_7.4A_2021_q40,7.4(A),2021,40
43,1,yes,g7_math_7.4A_2019_q4,7.4(A),2019,4
44,1,yes,g7_math_7.4A_2019_q23,7.4(A),2019,23
45,1,yes,g7_math_7.4A_2018_q5,7.4(A),2018,5
46,1,yes,g7_math_7.4A_2018_q40,7.4(A),2018,40
47,1,yes,g7_math_7.4A_2017_q9,7.4(A),2017,9
48,1,yes,g7_math_7.4A_2017_q25,7.4(A),2017,25
49,1,yes,g7_math_7.4A_2016_q11,7.4(A),2016,11
50,1,yes,g7_math_7.4A_2016_q34,7.4(A),2016,34
51,1,yes,g7_math_7.4A_2016_q54,7.4(A),2016,54
52,1,yes,g7_math_7.4A_2015_q6,7.4(A),2015,6
