page_number,segment_count,has_items,item_ids,standards,years,question_numbers
96,1,yes,g9_science_B.9A_2024_q19,B.9(A),2024,19
97,1,yes,g9_science_B.9A_2023_q36,B.9(A),2023,36
98,1,yes,g9_science_B.9A_2022_q41,B.9(A),2022,41
99,1,yes,g9_science_B.9A_2021_q13,B.9(A),2021,13
100,1,yes,g9_science_B.9A_2021_q44,B.9(A),2021,44
101,1,yes,g9_science_B.9A_2019_q47,B.9(A),2019,47
102,1,yes,g9_science_B.9B_2025_q1,B.9(B),2025,1
103,1,yes,g9_science_B.9B_2024_q20,B.9(B),2024,20
104,1,yes,g9_science_B.9B_2023_q27,B.9(B),2023,27
105,1,yes,g9_science_B.9B_2022_q39,B.9(B),2022,39
106,1,yes,g9_science_B.9B_2021_q22,B.9(B),2021,22
107,1,yes,g9_science_B.9B_2019_q12,B.9(B),2019,12
108,0,no,,,,
109,1,yes,g9_science_B.10A_2025_q11,B.10(A),2025,11
110,1,yes,g9_science_B.10A_2021_q4,B.10(A),2021,4
111,1,yes,g9_science_B.10A_2019_q33,B.10(A),2019,33
112,1,yes,g9_science_B.10B_2025_q20,B.10(B),2025,20
113,1,yes,g9_science_B.10B_2024_q34,B.10(B),2024,34
114,1,yes,g9_science_B.10B_2023_q38,B.10(B),2023,38
115,1,yes,g9_science_B.10B_2022_q11,B.10(B),2022,11
116,1,yes,g9_science_B.10B_2021_q40,B.10(B),2021,40
117,1,yes,g9_science_B.10B_2019_q42,B.10(B),2019,42
118,1,yes,g9_science_B.10C_2025_q7,B.10(C),2025,7
119,1,yes,g9_science_B.10C_2025_q39,B.10(C),2025,39
120,1,yes,g9_science_B.10C_2024_q45,B.10(C),2024,45
121,1,yes,g9_science_B.10D_2025_q24,B.10(D),2025,24
122,1,yes,g9_science_B.10D_2024_q33,B.10(D),2024,33
123,1,yes,g9_science_B.10D_2023_q40,B.10(D),2023,40
124,1,yes,g9_science_B.10D_2022_q43,B.10(D),2022,43
125,1,yes,g9_science_B.10D_2019_q22,B.10(D),2019,22
126,0,no,,,,
127,1,yes,g9_science_B.11A_2025_q17,B.11(A),2025,17
128,1,yes,g9_science_B.11A_2024_q22,B.11(A),2024,22
129,1,yes,g9_science_B.11A_2023_q2,B.11(A),2023,2
130,1,yes,g9_science_B.11A_2022_q45,B.11(A),2022,45
131,1,yes,g9_science_B.11A_2021_q9,B.11(A),2021,9
132,1,yes,g9_science_B.11A_2019_q45,B.11(A),2019,45
133,1,yes,g9_science_B.11B_2025_q29,B.11(B),2025,29
134,1,yes,g9_science_B.11B_2025_q38,B.11(B),2025,38
135,1,yes,g9_science_B.11B_2024_q37,B.11(B),2024,37
136,1,yes,g9_science_B.11B_2023_q28,B.11(B),2023,28
137,1,yes,g9_science_B.11B_2022_q29,B.11(B),2022,29
138,2,yes,g9_science_B.11B_2021_q19; g9_science_B.11B_2019_q14,B.11(B); B.11(B),2021; 2019,19; 14
139,0,no,,,,
140,0,no,,,,
141,1,yes,g9_science_B.12A_2025_q5,B.12(A),2025,5
142,1,yes,g9_science_B.12A_2025_q23,B.12(A),2025,23
143,1,yes,g9_science_B.12A_2024_q10,B.12(A),2024,10
144,1,yes,g9_science_B.12A_2024_q31,B.12(A),2024,31
145,1,yes,g9_science_B.12A_2023_q13,B.12(A),2023,13
146,1,yes,g9_science_B.12A_2023_q21,B.12(A),2023,21
147,1,yes,g9_science_B.12A_2022_q3,B.12(A),2022,3
148,1,yes,g9_science_B.12A_2022_q22,B.12(A),2022,22
149,1,yes,g9_science_B.12A_2022_q42,B.12(A),2022,42
150,1,yes,g9_science_B.12A_2021_q1,B.12(A),2021,1
151,1,yes,g9_science_B.12A_2021_q26,B.12(A),2021,26
152,1,yes,g9_science_B.12A_2021_q49,B.12(A),2021,49
153,1,yes,g9_science_B.12A_2019_q5,B.12(A),2019,5
154,1,yes,g9_science_B.12A_2019_q25,B.12(A),2019,25
