page_number,segment_count,has_items,item_ids,standards,years,question_numbers
75,1,yes,g9_math_A.3C_2023_q48,A.3(C),2023,48
76,1,yes,g9_math_A.3C_2022_q32,A.3(C),2022,32
77,1,yes,g9_math_A.3C_2022_q54,A.3(C),2022,54
78,1,yes,g9_math_A.3C_2021_q9,A.3(C),2021,9
79,1,yes,g9_math_A.3C_2021_q41,A.3(C),2021,41
80,1,yes,g9_math_A.3C_2021_q51,A.3(C),2021,51
81,1,yes,g9_math_A.3C_2019_q7,A.3(C),2019,7
82,1,yes,g9_math_A.3C_2019_q26,A.3(C),2019,26
83,1,yes,g9_math_A.3C_2019_q35,A.3(C),2019,35
84,1,yes,g9_math_A.3C_2018_q16,A.3(C),2018,16
85,1,yes,g9_math_A.3C_2018_q27,A.3(C),2018,27
86,1,yes,g9_math_A.3C_2018_q54,A.3(C),2018,54
87,1,yes,g9_math_A.3C_2017_q12,A.3(C),2017,12
88,1,yes,g9_math_A.3C_2017_q32,A.3(C),2017,32
89,1,yes,g9_math_A.3C_2017_q42,A.3(C),2017,42
90,1,yes,g9_math_A.3C_2016_q14,A.3(C),2016,14
91,1,yes,g9_math_A.3C_2016_q23,A.3(C),2016,23
92,1,yes,g9_math_A.3C_2016_q43,A.3(C),2016,43
93,1,yes,g9_math_A.3E_2024_q38,A.3(E),2024,38
94,1,yes,g9_math_A.3E_2023_q15,A.3(E),2023,15
95,1,yes,g9_math_A.3E_2021_q20,A.3(E),2021,20
96,1,yes,g9_math_A.3E_2019_q52,A.3(E),2019,52
97,1,yes,g9_math_A.3E_2018_q35,A.3(E),2018,35
98,2,yes,g9_math_A.3E_2017_q45; g9_math_A.3E_2016_q11,A.3(E); A.3(E),2017; 2016,45; 11
99,1,yes,g9_math_A.4A_2025_q7,A.4(A),2025,7
100,1,yes,g9_math_A.4A_2024_q10,A.4(A),2024,10
101,2,yes,g9_math_A.4A_2023_q6; g9_math_A.4A_2017_q19,A.4(A); A.4(A),2023; 2017,6; 19
102,1,yes,g9_math_A.4B_2024_q20,A.4(B),2024,20
103,2,yes,g9_math_A.4B_2022_q11; g9_math_A.4B_2021_q31,A.4(B); A.4(B),2022; 2021,11; 31
104,2,yes,g9_math_A.4B_2018_q25; g9_math_A.4B_2017_q9,A.4(B); A.4(B),2018; 2017,25; 9
105,1,yes,g9_math_A.4C_2025_q25,A.4(C),2025,25
106,1,yes,g9_math_A.4C_2023_q26,A.4(C),2023,26
107,1,yes,g9_math_A.4C_2022_q29,A.4(C),2022,29
108,1,yes,g9_math_A.4C_2019_q22,A.4(C),2019,22
109,1,yes,g9_math_A.4C_2018_q12,A.4(C),2018,12
110,1,yes,g9_math_A.4C_2016_q26,A.4(C),2016,26
111,1,yes,g9_math_A.5A_2025_q29,A.5(A),2025,29
112,2,yes,g9_math_A.5A_2025_q46; g9_math_A.5A_2024_q24,A.5(A); A.5(A),2025; 2024,46; 24
113,2,yes,g9_math_A.5A_2024_q46; g9_math_A.5A_2023_q4,A.5(A); A.5(A),2024; 2023,46; 4
114,2,yes,g9_math_A.5A_2023_q29; g9_math_A.5A_2022_q42,A.5(A); A.5(A),2023; 2022,29; 42
115,2,yes,g9_math_A.5A_2022_q51; g9_math_A.5A_2021_q10,A.5(A); A.5(A),2022; 2021,51; 10
116,2,yes,g9_math_A.5A_2021_q54; g9_math_A.5A_2019_q3,A.5(A); A.5(A),2021; 2019,54; 3
117,2,yes,g9_math_A.5A_2019_q42; g9_math_A.5A_2018_q8,A.5(A); A.5(A),2019; 2018,42; 8
118,2,yes,g9_math_A.5A_2018_q34; g9_math_A.5A_2017_q11,A.5(A); A.5(A),2018; 2017,34; 11
119,2,yes,g9_math_A.5A_2017_q40; g9_math_A.5A_2016_q8,A.5(A); A.5(A),2017; 2016,40; 8
120,1,yes,g9_math_A.5A_2016_q52,A.5(A),2016,52
121,1,yes,g9_math_A.12A_2024_q44,A.12(A),2024,44
122,2,yes,g9_math_A.12A_2019_q44; g9_math_A.12A_2016_q36,A.12(A); A.12(A),2019; 2016,44; 36
123,2,yes,g9_math_A.12B_2023_q47; g9_math_A.12B_2022_q31,A.12(B); A.12(B),2023; 2022,47; 31
124,1,yes,g9_math_A.12B_2016_q27,A.12(B),2016,27
125,1,yes,g9_math_A.12C_2023_q31,A.12(C),2023,31
126,2,yes,g9_math_A.12D_2024_q8; g9_math_A.12D_2018_q9,A.12(D); A.12(D),2024; 2018,8; 9
127,2,yes,g9_math_A.12E_2025_q31; g9_math_A.12E_2023_q45,A.12(E); A.12(E),2025; 2023,31; 45
128,1,yes,g9_math_A.12E_2016_q18,A.12(E),2016,18
129,0,no,,,,
130,2,yes,g9_math_A.2H_2025_q14; g9_math_A.2H_2023_q12,A.2(H); A.2(H),2025; 2023,14; 12
131,2,yes,g9_math_A.2H_2022_q28; g9_math_A.2H_2021_q30,A.2(H); A.2(H),2022; 2021,28; 30
132,2,yes,g9_math_A.2H_2019_q15; g9_math_A.2H_2017_q25,A.2(H); A.2(H),2019; 2017,15; 25
133,1,yes,g9_math_A.2H_2016_q3,A.2(H),2016,3
134,1,yes,g9_math_A.2I_2025_q4,A.2(I),2025,4
135,2,yes,g9_math_A.2I_2025_q34; g9_math_A.2I_2024_q26,A.2(I); A.2(I),2025; 2024,34; 26
136,1,yes,g9_math_A.2I_2024_q39,A.2(I),2024,39
137,1,yes,g9_math_A.2I_2023_q37,A.2(I),2023,37
138,1,yes,g9_math_A.2I_2022_q3,A.2(I),2022,3
139,1,yes,g9_math_A.2I_2022_q12,A.2(I),2022,12
140,2,yes,g9_math_A.2I_2021_q15; g9_math_A.2I_2021_q24,A.2(I); A.2(I),2021; 2021,15; 24
141,1,yes,g9_math_A.2I_2019_q30,A.2(I),2019,30
142,2,yes,g9_math_A.2I_2019_q51; g9_math_A.2I_2018_q24,A.2(I); A.2(I),2019; 2018,51; 24
143,2,yes,g9_math_A.2I_2018_q37; g9_math_A.2I_2017_q2,A.2(I); A.2(I),2018; 2017,37; 2
144,1,yes,g9_math_A.2I_2017_q48,A.2(I),2017,48
145,2,yes,g9_math_A.2I_2016_q13; g9_math_A.2I_2016_q48,A.2(I); A.2(I),2016; 2016,13; 48
146,0,no,,,,
147,1,yes,g9_math_A.3D_2025_q10,A.3(D),2025,10
148,0,no,,,,
149,0,no,,,,
150,1,yes,g9_math_A.3D_2024_q12,A.3(D),2024,12
151,1,yes,g9_math_A.3D_2024_q41,A.3(D),2024,41
152,0,no,,,,
153,0,no,,,,
154,1,yes,g9_math_A.3D_2023_q43,A.3(D),2023,43
155,1,yes,g9_math_A.3D_2022_q8,A.3(D),2022,8
156,2,yes,g9_math_A.3D_2022_q37; g9_math_A.3D_2021_q5,A.3(D); A.3(D),2022; 2021,37; 5
157,1,yes,g9_math_A.3D_2021_q46,A.3(D),2021,46
158,1,yes,g9_math_A.3D_2019_q17,A.3(D),2019,17
159,1,yes,g9_math_A.3D_2019_q47,A.3(D),2019,47
160,1,yes,g9_math_A.3D_2018_q19,A.3(D),2018,19
161,1,yes,g9_math_A.3D_2018_q45,A.3(D),2018,45
162,1,yes,g9_math_A.3D_2017_q3,A.3(D),2017,3
163,1,yes,g9_math_A.3D_2017_q37,A.3(D),2017,37
164,1,yes,g9_math_A.3D_2016_q7,A.3(D),2016,7
165,1,yes,g9_math_A.3D_2016_q47,A.3(D),2016,47
166,1,yes,g9_math_A.3F_2025_q45,A.3(F),2025,45
167,1,yes,g9_math_A.3F_2024_q45,A.3(F),2024,45
168,1,yes,g9_math_A.3F_2022_q45,A.3(F),2022,45
169,1,yes,g9_math_A.3F_2019_q49,A.3(F),2019,49
170,1,yes,g9_math_A.3F_2018_q3,A.3(F),2018,3
171,1,yes,g9_math_A.3F_2017_q29,A.3(F),2017,29
172,1,yes,g9_math_A.3F_2016_q32,A.3(F),2016,32
173,1,yes,g9_math_A.3G_2024_q15,A.3(G),2024,15
174,1,yes,g9_math_A.3G_2023_q30,A.3(G),2023,30
175,1,yes,g9_math_A.3H_2025_q38,A.3(H),2025,38
176,1,yes,g9_math_A.3H_2022_q39,A.3(H),2022,39
177,1,yes,g9_math_A.3H_2021_q13,A.3(H),2021,13
178,2,yes,g9_math_A.5B_2018_q30; g9_math_A.5B_2016_q33,A.5(B); A.5(B),2018; 2016,30; 33
179,1,yes,g9_math_A.5C_2025_q11,A.5(C),2025,11
180,1,yes,g9_math_A.5C_2025_q24,A.5(C),2025,24
181,1,yes,g9_math_A.5C_2024_q13,A.5(C),2024,13
182,1,yes,g9_math_A.5C_2024_q42,A.5(C),2024,42
183,2,yes,g9_math_A.5C_2023_q23; g9_math_A.5C_2023_q40,A.5(C); A.5(C),2023; 2023,23; 40
184,2,yes,g9_math_A.5C_2022_q5; g9_math_A.5C_2022_q49,A.5(C); A.5(C),2022; 2022,5; 49
185,2,yes,g9_math_A.5C_2021_q50; g9_math_A.5C_2019_q25,A.5(C); A.5(C),2021; 2019,50; 25
186,2,yes,g9_math_A.5C_2019_q37; g9_math_A.5C_2018_q15,A.5(C); A.5(C),2019; 2018,37; 15
187,2,yes,g9_math_A.5C_2018_q52; g9_math_A.5C_2017_q18,A.5(C); A.5(C),2018; 2017,52; 18
188,2,yes,g9_math_A.5C_2017_q54; g9_math_A.5C_2016_q20,A.5(C); A.5(C),2017; 2016,54; 20
189,1,yes,g9_math_A.5C_2016_q39,A.5(C),2016,39
190,0,no,,,,
191,1,yes,g9_math_A.10A_2024_q35,A.10(A),2024,35
192,2,yes,g9_math_A.10A_2022_q23; g9_math_A.10A_2019_q16,A.10(A); A.10(A),2022; 2019,23; 16
193,2,yes,g9_math_A.10A_2017_q13; g9_math_A.10A_2016_q2,A.10(A); A.10(A),2017; 2016,13; 2
194,2,yes,g9_math_A.10B_2025_q23; g9_math_A.10B_2023_q33,A.10(B); A.10(B),2025; 2023,23; 33
195,2,yes,g9_math_A.10B_2022_q10; g9_math_A.10B_2021_q29,A.10(B); A.10(B),2022; 2021,10; 29
196,2,yes,g9_math_A.10B_2018_q36; g9_math_A.10B_2016_q54,A.10(B); A.10(B),2018; 2016,36; 54
197,1,yes,g9_math_A.10C_2023_q16,A.10(C),2023,16
198,2,yes,g9_math_A.10D_2025_q1; g9_math_A.10D_2023_q39,A.10(D); A.10(D),2025; 2023,1; 39
199,2,yes,g9_math_A.10D_2021_q48; g9_math_A.10D_2019_q36,A.10(D); A.10(D),2021; 2019,48; 36
200,2,yes,g9_math_A.10D_2018_q2; g9_math_A.10D_2016_q15,A.10(D); A.10(D),2018; 2016,2; 15
201,1,yes,g9_math_A.10E_2025_q20,A.10(E),2025,20
202,2,yes,g9_math_A.10E_2025_q44; g9_math_A.10E_2024_q16,A.10(E); A.10(E),2025; 2024,44; 16
203,2,yes,g9_math_A.10E_2024_q37; g9_math_A.10E_2023_q5,A.10(E); A.10(E),2024; 2023,37; 5
204,2,yes,g9_math_A.10E_2023_q24; g9_math_A.10E_2022_q14,A.10(E); A.10(E),2023; 2022,24; 14
205,2,yes,g9_math_A.10E_2022_q33; g9_math_A.10E_2022_q46,A.10(E); A.10(E),2022; 2022,33; 46
206,2,yes,g9_math_A.10E_2021_q18; g9_math_A.10E_2021_q32,A.10(E); A.10(E),2021; 2021,18; 32
207,2,yes,g9_math_A.10E_2021_q45; g9_math_A.10E_2019_q4,A.10(E); A.10(E),2021; 2019,45; 4
208,2,yes,g9_math_A.10E_2019_q29; g9_math_A.10E_2019_q48,A.10(E); A.10(E),2019; 2019,29; 48
209,2,yes,g9_math_A.10E_2018_q11; g9_math_A.10E_2018_q31,A.10(E); A.10(E),2018; 2018,11; 31
210,2,yes,g9_math_A.10E_2018_q44; g9_math_A.10E_2017_q17,A.10(E); A.10(E),2018; 2017,44; 17
211,2,yes,g9_math_A.10E_2017_q28; g9_math_A.10E_2017_q41,A.10(E); A.10(E),2017; 2017,28; 41
212,2,yes,g9_math_A.10E_2016_q6; g9_math_A.10E_2016_q49,A.10(E); A.10(E),2016; 2016,6; 49
213,2,yes,g9_math_A.10F_2024_q47; g9_math_A.10F_2022_q43,A.10(F); A.10(F),2024; 2022,47; 43
214,2,yes,g9_math_A.10F_2021_q40; g9_math_A.10F_2016_q25,A.10(F); A.10(F),2021; 2016,40; 25
215,1,yes,g9_math_A.11A_2025_q3,A.11(A),2025,3
216,1,yes,g9_math_A.11A_2024_q1,A.11(A),2024,1
217,2,yes,g9_math_A.11A_2023_q20; g9_math_A.11A_2021_q1,A.11(A); A.11(A),2023; 2021,20; 1
218,2,yes,g9_math_A.11A_2019_q53; g9_math_A.11A_2018_q53,A.11(A); A.11(A),2019; 2018,53; 53
219,1,yes,g9_math_A.11A_2017_q1,A.11(A),2017,1
220,2,yes,g9_math_A.11B_2025_q28; g9_math_A.11B_2025_q48,A.11(B); A.11(B),2025; 2025,28; 48
221,1,yes,g9_math_A.11B_2024_q6,A.11(B),2024,6
222,2,yes,g9_math_A.11B_2024_q33; g9_math_A.11B_2023_q10,A.11(B); A.11(B),2024; 2023,33; 10
223,2,yes,g9_math_A.11B_2023_q35; g9_math_A.11B_2022_q16,A.11(B); A.11(B),2023; 2022,35; 16
224,2,yes,g9_math_A.11B_2022_q21; g9_math_A.11B_2021_q8,A.11(B); A.11(B),2022; 2021,21; 8
225,2,yes,g9_math_A.11B_2021_q26; g9_math_A.11B_2021_q35,A.11(B); A.11(B),2021; 2021,26; 35
226,2,yes,g9_math_A.11B_2019_q13; g9_math_A.11B_2019_q24,A.11(B); A.11(B),2019; 2019,13; 24
227,2,yes,g9_math_A.11B_2019_q34; g9_math_A.11B_2018_q6,A.11(B); A.11(B),2019; 2018,34; 6
228,2,yes,g9_math_A.11B_2018_q28; g9_math_A.11B_2018_q49,A.11(B); A.11(B),2018; 2018,28; 49
229,2,yes,g9_math_A.11B_2017_q6; g9_math_A.11B_2017_q20,A.11(B); A.11(B),2017; 2017,6; 20
230,2,yes,g9_math_A.11B_2017_q51; g9_math_A.11B_2016_q10,A.11(B); A.11(B),2017; 2016,51; 10
231,1,yes,g9_math_A.11B_2016_q31,A.11(B),2016,31
232,0,no,,,,
233,1,yes,g9_math_A.6A_2025_q5,A.6(A),2025,5
234,1,yes,g9_math_A.6A_2025_q32,A.6(A),2025,32
235,1,yes,g9_math_A.6A_2024_q9,A.6(A),2024,9
236,1,yes,g9_math_A.6A_2024_q32,A.6(A),2024,32
237,2,yes,g9_math_A.6A_2023_q11; g9_math_A.6A_2023_q32,A.6(A); A.6(A),2023; 2023,11; 32
238,1,yes,g9_math_A.6A_2022_q6,A.6(A),2022,6
239,1,yes,g9_math_A.6A_2022_q47,A.6(A),2022,47
240,1,yes,g9_math_A.6A_2021_q12,A.6(A),2021,12
241,1,yes,g9_math_A.6A_2021_q43,A.6(A),2021,43
242,2,yes,g9_math_A.6A_2019_q2; g9_math_A.6A_2019_q50,A.6(A); A.6(A),2019; 2019,2; 50
243,1,yes,g9_math_A.6A_2018_q5,A.6(A),2018,5
244,1,yes,g9_math_A.6A_2018_q38,A.6(A),2018,38
245,1,yes,g9_math_A.6A_2017_q30,A.6(A),2017,30
246,1,yes,g9_math_A.6A_2017_q53,A.6(A),2017,53
247,1,yes,g9_math_A.6A_2016_q12,A.6(A),2016,12
248,1,yes,g9_math_A.6A_2016_q53,A.6(A),2016,53
249,1,yes,g9_math_A.6B_2025_q41,A.6(B),2025,41
250,1,yes,g9_math_A.6B_2024_q40,A.6(B),2024,40
251,2,yes,g9_math_A.6B_2023_q25; g9_math_A.6B_2019_q43,A.6(B); A.6(B),2023; 2019,25; 43
252,2,yes,g9_math_A.6B_2018_q26; g9_math_A.6B_2017_q43,A.6(B); A.6(B),2018; 2017,26; 43
253,1,yes,g9_math_A.6C_2024_q2,A.6(C),2024,2
254,2,yes,g9_math_A.6C_2023_q3; g9_math_A.6C_2022_q24,A.6(C); A.6(C),2023; 2022,3; 24
255,1,yes,g9_math_A.6C_2021_q16,A.6(C),2021,16
256,1,yes,g9_math_A.6C_2019_q28,A.6(C),2019,28
257,1,yes,g9_math_A.6C_2018_q7,A.6(C),2018,7
258,1,yes,g9_math_A.6C_2017_q10,A.6(C),2017,10
259,1,yes,g9_math_A.7A_2025_q15,A.7(A),2025,15
260,1,yes,g9_math_A.7A_2025_q21,A.7(A),2025,21
261,1,yes,g9_math_A.7A_2024_q4,A.7(A),2024,4
262,0,no,,,,
263,1,yes,g9_math_A.7A_2024_q25,A.7(A),2024,25
264,1,yes,g9_math_A.7A_2023_q19,A.7(A),2023,19
265,1,yes,g9_math_A.7A_2023_q49,A.7(A),2023,49
266,1,yes,g9_math_A.7A_2022_q1,A.7(A),2022,1
267,1,yes,g9_math_A.7A_2022_q40,A.7(A),2022,40
268,1,yes,g9_math_A.7A_2021_q7,A.7(A),2021,7
269,1,yes,g9_math_A.7A_2021_q34,A.7(A),2021,34
270,1,yes,g9_math_A.7A_2019_q21,A.7(A),2019,21
271,1,yes,g9_math_A.7A_2019_q46,A.7(A),2019,46
272,1,yes,g9_math_A.7A_2018_q29,A.7(A),2018,29
273,1,yes,g9_math_A.7A_2018_q50,A.7(A),2018,50
274,1,yes,g9_math_A.7A_2017_q14,A.7(A),2017,14
275,1,yes,g9_math_A.7A_2017_q46,A.7(A),2017,46
276,1,yes,g9_math_A.7A_2016_q34,A.7(A),2016,34
277,1,yes,g9_math_A.7A_2016_q45,A.7(A),2016,45
278,2,yes,g9_math_A.7B_2025_q9; g9_math_A.7B_2024_q34,A.7(B); A.7(B),2025; 2024,9; 34
279,2,yes,g9_math_A.7B_2023_q8; g9_math_A.7B_2022_q30,A.7(B); A.7(B),2023; 2022,8; 30
280,2,yes,g9_math_A.7B_2021_q4; g9_math_A.7B_2018_q18,A.7(B); A.7(B),2021; 2018,4; 18
281,2,yes,g9_math_A.7B_2016_q16; g9_math_A.7B_2016_q37,A.7(B); A.7(B),2016; 2016,16; 37
