page_number,segment_count,has_items,item_ids,standards,years,question_numbers
524,1,yes,g11_social-studies_US.9I_2021_q43,US.9(I),2021,43
525,1,yes,g11_social-studies_US.9I_2019_q16,US.9(I),2019,16
526,1,yes,g11_social-studies_US.9I_2018_q32,US.9(I),2018,32
527,1,yes,g11_social-studies_US.9I_2017_q13,US.9(I),2017,13
528,1,yes,g11_social-studies_US.9I_2016_q51,US.9(I),2016,51
529,1,yes,g11_social-studies_US.9I_2015_q30,US.9(I),2015,30
530,1,yes,g11_social-studies_US.9I_2014_q44,US.9(I),2014,44
531,1,yes,g11_social-studies_US.22A_2022_q25,US.22(A),2022,25
532,1,yes,g11_social-studies_US.22C_2014_q67,US.22(C),2014,67
533,1,yes,g11_social-studies_US.23A_2023_q2,US.23(A),2023,2
534,1,yes,g11_social-studies_US.24B_2019_q46,US.24(B),2019,46
535,1,yes,g11_social-studies_US.25A_2025_q20,US.25(A),2025,20
536,2,yes,g11_social-studies_US.25A_2022_q57; g11_social-studies_US.25A_2021_q51,US.25(A); US.25(A),2022; 2021,57; 51
537,1,yes,g11_social-studies_US.25A_2017_q22,US.25(A),2017,22
538,1,yes,g11_social-studies_US.25A_2016_q3,US.25(A),2016,3
539,1,yes,g11_social-studies_US.25A_2015_q39,US.25(A),2015,39
540,1,yes,g11_social-studies_US.25A_2013_q1,US.25(A),2013,1
541,1,yes,g11_social-studies_US.25C_2025_q63,US.25(C),2025,63
542,1,yes,g11_social-studies_US.25C_2024_q54,US.25(C),2024,54
543,1,yes,g11_social-studies_US.25C_2019_q55,US.25(C),2019,55
544,1,yes,g11_social-studies_US.25C_2016_q31,US.25(C),2016,31
545,1,yes,g11_social-studies_US.25C_2013_q6,US.25(C),2013,6
546,1,yes,g11_social-studies_US.25D_2023_q37,US.25(D),2023,37
547,1,yes,g11_social-studies_US.25D_2022_q63,US.25(D),2022,63
548,1,yes,g11_social-studies_US.25D_2019_q51,US.25(D),2019,51
549,1,yes,g11_social-studies_US.25D_2015_q54,US.25(D),2015,54
550,1,yes,g11_social-studies_US.9G_2024_q33,US.9(G),2024,33
551,1,yes,g11_social-studies_US.9G_2023_q24,US.9(G),2023,24
552,1,yes,g11_social-studies_US.9G_2022_q27,US.9(G),2022,27
