page_number,segment_count,has_items,item_ids,standards,years,question_numbers
1,0,no,,,,
2,0,no,,,,
3,0,no,,,,
4,1,yes,g6_math_6.2A_2025_q7,6.2(A),2025,7
5,1,yes,g6_math_6.2A_2024_q24,6.2(A),2024,24
6,1,yes,g6_math_6.2A_2019_q2,6.2(A),2019,2
7,1,yes,g6_math_6.2A_2018_q36,6.2(A),2018,36
8,1,yes,g6_math_6.2A_2016_q32,6.2(A),2016,32
9,1,yes,g6_math_6.2A_2015_q1,6.2(A),2015,1
10,1,yes,g6_math_6.2C_2019_q16,6.2(C),2019,16
11,1,yes,g6_math_6.2C_2017_q18,6.2(C),2017,18
12,1,yes,g6_math_6.2C_2016_q19,6.2(C),2016,19
13,1,yes,g6_math_6.2D_2025_q11,6.2(D),2025,11
14,1,yes,g6_math_6.2D_2025_q33,6.2(D),2025,33
15,1,yes,g6_math_6.2D_2024_q13,6.2(D),2024,13
16,1,yes,g6_math_6.2D_2023_q18,6.2(D),2023,18
17,2,yes,g6_math_6.2D_2022_q37; g6_math_6.2D_2021_q4,6.2(D); 6.2(D),2022; 2021,37; 4
18,1,yes,g6_math_6.2D_2021_q24,6.2(D),2021,24
19,1,yes,g6_math_6.2D_2019_q12,6.2(D),2019,12
20,1,yes,g6_math_6.2D_2019_q30,6.2(D),2019,30
21,1,yes,g6_math_6.2D_2018_q14,6.2(D),2018,14
22,2,yes,g6_math_6.2D_2018_q30; g6_math_6.2D_2017_q1,6.2(D); 6.2(D),2018; 2017,30; 1
23,1,yes,g6_math_6.2D_2017_q20,6.2(D),2017,20
24,1,yes,g6_math_6.2D_2016_q15,6.2(D),2016,15
25,1,yes,g6_math_6.2D_2016_q45,6.2(D),2016,45
26,1,yes,g6_math_6.2D_2015_q2,6.2(D),2015,2
27,0,no,,,,
28,1,yes,g6_math_6.2B_2025_q18,6.2(B),2025,18
29,1,yes,g6_math_6.2B_2024_q8,6.2(B),2024,8
30,2,yes,g6_math_6.2B_2023_q29; g6_math_6.2B_2019_q19,6.2(B); 6.2(B),2023; 2019,29; 19
31,1,yes,g6_math_6.2B_2018_q3,6.2(B),2018,3
32,1,yes,g6_math_6.2E_2025_q16,6.2(E),2025,16
33,2,yes,g6_math_6.2E_2022_q2; g6_math_6.2E_2017_q34,6.2(E); 6.2(E),2022; 2017,2; 34
34,1,yes,g6_math_6.2E_2015_q3,6.2(E),2015,3
35,1,yes,g6_math_6.3A_2022_q19,6.3(A),2022,19
36,1,yes,g6_math_6.3A_2016_q6,6.3(A),2016,6
37,1,yes,g6_math_6.3A_2015_q8,6.3(A),2015,8
38,1,yes,g6_math_6.3B_2023_q21,6.3(B),2023,21
39,2,yes,g6_math_6.3B_2022_q8; g6_math_6.3B_2017_q19,6.3(B); 6.3(B),2022; 2017,8; 19
40,1,yes,g6_math_6.3B_2015_q9,6.3(B),2015,9
41,1,yes,g6_math_6.3C_2023_q19,6.3(C),2023,19
42,2,yes,g6_math_6.3C_2021_q3; g6_math_6.3C_2018_q24,6.3(C); 6.3(C),2021; 2018,3; 24
43,1,yes,g6_math_6.3C_2015_q10,6.3(C),2015,10
44,1,yes,g6_math_6.3D_2025_q2,6.3(D),2025,2
45,1,yes,g6_math_6.3D_2025_q24,6.3(D),2025,24
46,1,yes,g6_math_6.3D_2024_q22,6.3(D),2024,22
47,2,yes,g6_math_6.3D_2023_q11; g6_math_6.3D_2023_q26,6.3(D); 6.3(D),2023; 2023,11; 26
48,2,yes,g6_math_6.3D_2022_q21; g6_math_6.3D_2021_q7,6.3(D); 6.3(D),2022; 2021,21; 7
