page_number,segment_count,has_items,item_ids,standards,years,question_numbers
1,0,no,,,,
2,0,no,,,,
3,0,no,,,,
4,1,yes,g8_math_8.2A_2023_q1,8.2(A),2023,1
5,1,yes,g8_math_8.2A_2022_q21,8.2(A),2022,21
6,1,yes,g8_math_8.2A_2018_q15,8.2(A),2018,15
7,1,yes,g8_math_8.2A_2015_q1,8.2(A),2015,1
8,1,yes,g8_math_8.2B_2023_q9,8.2(B),2023,9
9,2,yes,g8_math_8.2B_2021_q39; g8_math_8.2B_2019_q33,8.2(B); 8.2(B),2021; 2019,39; 33
10,2,yes,g8_math_8.2B_2018_q41; g8_math_8.2B_2017_q31,8.2(B); 8.2(B),2018; 2017,41; 31
11,1,yes,g8_math_8.2B_2016_q48,8.2(B),2016,48
12,1,yes,g8_math_8.2C_2025_q24,8.2(C),2025,24
13,2,yes,g8_math_8.2C_2024_q27; g8_math_8.2C_2022_q9,8.2(C); 8.2(C),2024; 2022,27; 9
14,2,yes,g8_math_8.2C_2021_q22; g8_math_8.2C_2019_q29,8.2(C); 8.2(C),2021; 2019,22; 29
15,2,yes,g8_math_8.2C_2017_q18; g8_math_8.2C_2016_q21,8.2(C); 8.2(C),2017; 2016,18; 21
16,0,no,,,,
17,1,yes,g8_math_8.2D_2025_q4,8.2(D),2025,4
18,2,yes,g8_math_8.2D_2025_q38; g8_math_8.2D_2024_q2,8.2(D); 8.2(D),2025; 2024,38; 2
19,1,yes,g8_math_8.2D_2024_q37,8.2(D),2024,37
20,2,yes,g8_math_8.2D_2023_q18; g8_math_8.2D_2023_q30,8.2(D); 8.2(D),2023; 2023,18; 30
21,1,yes,g8_math_8.2D_2022_q7,8.2(D),2022,7
22,1,yes,g8_math_8.2D_2022_q41,8.2(D),2022,41
23,2,yes,g8_math_8.2D_2021_q16; g8_math_8.2D_2021_q33,8.2(D); 8.2(D),2021; 2021,16; 33
24,1,yes,g8_math_8.2D_2019_q17,8.2(D),2019,17
25,2,yes,g8_math_8.2D_2019_q27; g8_math_8.2D_2018_q3,8.2(D); 8.2(D),2019; 2018,27; 3
26,2,yes,g8_math_8.2D_2018_q22; g8_math_8.2D_2017_q3,8.2(D); 8.2(D),2018; 2017,22; 3
27,1,yes,g8_math_8.2D_2017_q29,8.2(D),2017,29
28,1,yes,g8_math_8.2D_2016_q1,8.2(D),2016,1
29,2,yes,g8_math_8.2D_2016_q30; g8_math_8.2D_2016_q37,8.2(D); 8.2(D),2016; 2016,30; 37
30,1,yes,g8_math_8.2D_2015_q2,8.2(D),2015,2
31,0,no,,,,
32,1,yes,g8_math_8.4A_2024_q36,8.4(A),2024,36
33,1,yes,g8_math_8.4A_2023_q5,8.4(A),2023,5
34,1,yes,g8_math_8.4A_2021_q15,8.4(A),2021,15
35,1,yes,g8_math_8.4A_2019_q18,8.4(A),2019,18
36,1,yes,g8_math_8.4A_2017_q30,8.4(A),2017,30
37,1,yes,g8_math_8.4A_2016_q22,8.4(A),2016,22
38,1,yes,g8_math_8.4A_2015_q3,8.4(A),2015,3
39,1,yes,g8_math_8.4B_2025_q1,8.4(B),2025,1
40,1,yes,g8_math_8.4B_2025_q28,8.4(B),2025,28
41,1,yes,g8_math_8.4B_2024_q11,8.4(B),2024,11
42,1,yes,g8_math_8.4B_2024_q40,8.4(B),2024,40
43,1,yes,g8_math_8.4B_2023_q16,8.4(B),2023,16
44,1,yes,g8_math_8.4B_2023_q26,8.4(B),2023,26
45,1,yes,g8_math_8.4B_2022_q5,8.4(B),2022,5
46,1,yes,g8_math_8.4B_2022_q39,8.4(B),2022,39
47,1,yes,g8_math_8.4B_2021_q24,8.4(B),2021,24
