[146/652] g9_elar_1.7D_2022_q27
[147/652] g9_elar_1.8A_2022_q29
[148/652] g9_elar_1.8A_2022_q30
[149/652] g9_elar_1.4H_2022_q32
[150/652] g9_elar_1.4H_2022_q33
[151/652] g9_elar_1.4H_2022_q34
[152/652] g9_elar_1.4H_2022_q35
[153/652] g9_elar_1.2B_2022_q36
[154/652] g9_elar_1.4G_2022_q37
[155/652] g9_elar_1.5C_2022_q38
[156/652] g9_elar_1.5D_2022_q44
[157/652] g9_elar_1.7D_2022_q40
[158/652] g9_elar_1.7D_2022_q39
[159/652] g9_elar_1.8A_2022_q42
[160/652] g9_elar_1.8A_2022_q43
[161/652] g9_elar_1.8B_2022_q41
[162/652] g9_elar_1.2B_2021_q46
[163/652] g9_elar_1.4F_2021_q51
[164/652] g9_elar_1.5D_2021_q49
[165/652] g9_elar_1.7D_2021_q47
[166/652] g9_elar_1.7D_2021_q52
[167/652] g9_elar_1.7D_2021_q50
[168/652] g9_elar_1.8A_2021_q48
[169/652] g9_elar_1.5C_2019_q24
[170/652] g9_elar_1.7D_2019_q20
[171/652] g9_elar_1.7D_2019_q23
[172/652] g9_elar_1.7D_2019_q25
[173/652] g9_elar_1.8A_2019_q19
[174/652] g9_elar_1.8A_2019_q22
[175/652] g9_elar_1.4F_2019_q33
[176/652] g9_elar_1.4F_2019_q34
[177/652] g9_elar_1.4F_2019_q35
[178/652] g9_elar_1.4F_2019_q36
[179/652] g9_elar_1.4F_2019_q37
[180/652] g9_elar_1.5C_2018_q40
[181/652] g9_elar_1.5C_2018_q45
[182/652] g9_elar_1.7D_2018_q41
[183/652] g9_elar_1.7D_2018_q42
[184/652] g9_elar_1.7D_2018_q43
[185/652] g9_elar_1.8A_2018_q39
[186/652] g9_elar_1.8A_2018_q44
[187/652] g9_elar_1.2B_2017_q26
[188/652] g9_elar_1.5C_2017_q32
[189/652] g9_elar_1.7D_2017_q27
[190/652] g9_elar_1.7D_2017_q28
[191/652] g9_elar_1.7D_2017_q29
[192/652] g9_elar_1.7D_2017_q30
[193/652] g9_elar_1.7D_2017_q31
[194/652] g9_elar_1.7D_2017_q33
[195/652] g9_elar_1.4F_2017_q34
[196/652] g9_elar_1.4F_2017_q35
[197/652] g9_elar_1.4F_2017_q36
[198/652] g9_elar_1.4F_2017_q37
[199/652] g9_elar_1.4F_2017_q38
[200/652] g9_elar_1.2A_2016_q23
[201/652] g9_elar_1.7D_2016_q24
[202/652] g9_elar_1.7D_2016_q25
[203/652] g9_elar_1.5C_2016_q29
[204/652] g9_elar_1.5D_2016_q26
[205/652] g9_elar_1.8A_2016_q27
[206/652] g9_elar_1.8A_2016_q28
[207/652] g9_elar_1.4F_2016_q35
[208/652] g9_elar_1.4F_2016_q36
[209/652] g9_elar_1.4F_2016_q37
[210/652] g9_elar_1.4F_2016_q38
[211/652] g9_elar_1.2B_2015_q39
[212/652] g9_elar_1.7D_2015_q40
[213/652] g9_elar_1.7D_2015_q41
[214/652] g9_elar_1.5D_2015_q43
[215/652] g9_elar_1.8A_2015_q38
[216/652] g9_elar_1.7D_2015_q42
[217/652] g9_elar_1.7D_2014_q31
[218/652] g9_elar_1.7D_2014_q32
[219/652] g9_elar_1.5C_2014_q33
[220/652] g9_elar_1.8A_2014_q29
[221/652] g9_elar_1.7D_2014_q30
[222/652] g9_elar_1.4F_2014_q34
[223/652] g9_elar_1.4F_2014_q35
[224/652] g9_elar_1.4F_2014_q36
[225/652] g9_elar_1.4F_2014_q37
[226/652] g9_elar_1.8A_2014_q48
[227/652] g9_elar_1.7D_2013_q2
[228/652] g9_elar_1.7D_2013_q3
[229/652] g9_elar_1.7D_2013_q4
[230/652] g9_elar_1.7D_2013_q5
[231/652] g9_elar_1.5D_2013_q6
[232/652] g9_elar_1.8A_2013_q1
[233/652] g9_elar_1.8C_2013_q7
[234/652] g9_elar_1.2B_2013_q14
[235/652] g9_elar_1.7D_2013_q15
[236/652] g9_elar_1.7D_2013_q16
[237/652] g9_elar_1.7D_2013_q19
[238/652] g9_elar_1.7D_2013_q20
[239/652] g9_elar_1.8A_2013_q17
[240/652] g9_elar_1.8A_2013_q18
[241/652] g9_elar_1.2B_2023_q15
[242/652] g9_elar_1.4F_2023_q14
[243/652] g9_elar_1.7B_2023_q16
[244/652] g9_elar_1.8D_2023_q13
[245/652] g9_elar_1.4H_2023_q17
[246/652] g9_elar_1.4H_2023_q18
[247/652] g9_elar_1.4H_2023_q19
[248/652] g9_elar_1.4H_2023_q20
[249/652] g9_elar_1.2C_2022_q45
[250/652] g9_elar_1.4F_2022_q53
[251/652] g9_elar_1.5C_2022_q50
[252/652] g9_elar_1.6A_2022_q48
[253/652] g9_elar_1.6D_2022_q52
[254/652] g9_elar_1.7B_2022_q47
[255/652] g9_elar_1.7B_2022_q49
[256/652] g9_elar_1.8D_2022_q46
[257/652] g9_elar_1.8F_2022_q51
[258/652] g9_elar_1.2B_2021_q27
[259/652] g9_elar_1.4F_2021_q26
[260/652] g9_elar_1.4F_2021_q29
[261/652] g9_elar_1.4F_2021_q30
[262/652] g9_elar_1.4F_2021_q31
[263/652] g9_elar_1.4F_2021_q32
[264/652] g9_elar_1.8D_2021_q25
[265/652] g9_elar_1.8D_2021_q28
[266/652] g9_elar_1.4F_2021_q33
[267/652] g9_elar_1.4F_2021_q34
[268/652] g9_elar_1.4F_2021_q35
[269/652] g9_elar_1.4F_2021_q36
[270/652] g9_elar_1.4F_2021_q37
[271/652] g9_elar_1.2B_2019_q46
[272/652] g9_elar_1.5C_2019_q47
[273/652] g9_elar_1.5C_2019_q48
[274/652] g9_elar_1.5C_2019_q49
[275/652] g9_elar_1.5C_2019_q50
[276/652] g9_elar_1.5C_2019_q51
[277/652] g9_elar_1.5C_2019_q52
[278/652] g9_elar_1.2B_2013_q22
[279/652] g9_elar_1.5C_2013_q23
[280/652] g9_elar_1.5C_2013_q25
[281/652] g9_elar_1.5C_2013_q26
[282/652] g9_elar_1.5C_2013_q27
[283/652] g9_elar_1.8F_2013_q24
[284/652] g9_elar_1.4F_2013_q34
[285/652] g9_elar_1.4F_2013_q35
[286/652] g9_elar_1.4F_2013_q36
