page_number,segment_count,has_items,item_ids,standards,years,question_numbers
1,0,no,,,,
2,0,no,,,,
3,0,no,,,,
4,1,yes,g3_math_3.2A_2025_q1,3.2(A),2025,1
5,1,yes,g3_math_3.2A_2025_q24,3.2(A),2025,24
6,1,yes,g3_math_3.2A_2024_q30,3.2(A),2024,30
7,1,yes,g3_math_3.2A_2023_q28,3.2(A),2023,28
8,1,yes,g3_math_3.2A_2022_q24,3.2(A),2022,24
9,1,yes,g3_math_3.2A_2021_q5,3.2(A),2021,5
10,1,yes,g3_math_3.2A_2019_q4,3.2(A),2019,4
11,1,yes,g3_math_3.2A_2019_q27,3.2(A),2019,27
12,1,yes,g3_math_3.2A_2018_q21,3.2(A),2018,21
13,1,yes,g3_math_3.2A_2017_q16,3.2(A),2017,16
14,1,yes,g3_math_3.2A_2016_q13,3.2(A),2016,13
15,1,yes,g3_math_3.2A_2016_q27,3.2(A),2016,27
16,1,yes,g3_math_3.2A_2015_q1,3.2(A),2015,1
17,1,yes,g3_math_3.2B_2025_q27,3.2(B),2025,27
18,1,yes,g3_math_3.2B_2024_q4,3.2(B),2024,4
19,1,yes,g3_math_3.2B_2023_q20,3.2(B),2023,20
20,2,yes,g3_math_3.2B_2018_q4; g3_math_3.2B_2016_q45,3.2(B); 3.2(B),2018; 2016,4; 45
21,1,yes,g3_math_3.2B_2015_q2,3.2(B),2015,2
22,1,yes,g3_math_3.2D_2025_q9,3.2(D),2025,9
23,1,yes,g3_math_3.2D_2025_q30,3.2(D),2025,30
24,1,yes,g3_math_3.2D_2024_q2,3.2(D),2024,2
25,1,yes,g3_math_3.2D_2023_q13,3.2(D),2023,13
26,1,yes,g3_math_3.2D_2023_q25,3.2(D),2023,25
27,1,yes,g3_math_3.2D_2022_q1,3.2(D),2022,1
28,1,yes,g3_math_3.2D_2022_q19,3.2(D),2022,19
29,2,yes,g3_math_3.2D_2021_q32; g3_math_3.2D_2019_q1,3.2(D); 3.2(D),2021; 2019,32; 1
30,1,yes,g3_math_3.2D_2018_q31,3.2(D),2018,31
31,1,yes,g3_math_3.2D_2017_q13,3.2(D),2017,13
32,1,yes,g3_math_3.2D_2017_q27,3.2(D),2017,27
33,1,yes,g3_math_3.2D_2016_q7,3.2(D),2016,7
34,1,yes,g3_math_3.2D_2016_q38,3.2(D),2016,38
35,1,yes,g3_math_3.2D_2015_q4,3.2(D),2015,4
36,1,yes,g3_math_3.2C_2024_q8,3.2(C),2024,8
37,2,yes,g3_math_3.2C_2017_q31; g3_math_3.2C_2015_q3,3.2(C); 3.2(C),2017; 2015,31; 3
38,0,no,,,,
39,0,no,,,,
40,1,yes,g3_math_3.3A_2016_q1,3.3(A),2016,1
41,1,yes,g3_math_3.3B_2025_q3,3.3(B),2025,3
42,1,yes,g3_math_3.3E_2025_q19,3.3(E),2025,19
43,1,yes,g3_math_3.3E_2022_q15,3.3(E),2022,15
44,1,yes,g3_math_3.3E_2018_q15,3.3(E),2018,15
45,1,yes,g3_math_3.3E_2016_q32,3.3(E),2016,32
46,1,yes,g3_math_3.7A_2021_q19,3.7(A),2021,19
47,1,yes,g3_math_3.7A_2019_q29,3.7(A),2019,29
48,1,yes,g3_math_3.7A_2017_q2,3.7(A),2017,2
49,1,yes,g3_math_3.3C_2024_q10,3.3(C),2024,10
50,1,yes,g3_math_3.3C_2021_q2,3.3(C),2021,2
51,1,yes,g3_math_3.3C_2019_q17,3.3(C),2019,17
52,1,yes,g3_math_3.3D_2022_q10,3.3(D),2022,10
53,1,yes,g3_math_3.3D_2018_q23,3.3(D),2018,23
54,1,yes,g3_math_3.3D_2015_q5,3.3(D),2015,5
