page_number,segment_count,has_items,item_ids,standards,years,question_numbers
1,0,no,,,,
2,0,no,,,,
3,0,no,,,,
4,1,yes,g8_science_8.6E_2025_q16,8.6(E),2025,16
5,1,yes,g8_science_8.6E_2025_q27,8.6(E),2025,27
6,1,yes,g8_science_8.6E_2024_q33,8.6(E),2024,33
7,1,yes,g8_science_8.6E_2023_q20,8.6(E),2023,20
8,1,yes,g8_science_8.6E_2023_q33,8.6(E),2023,33
9,1,yes,g8_science_8.6E_2022_q19,8.6(E),2022,19
10,1,yes,g8_science_8.6E_2022_q40,8.6(E),2022,40
11,1,yes,g8_science_8.6E_2021_q3,8.6(E),2021,3
12,1,yes,g8_science_8.6E_2021_q37,8.6(E),2021,37
13,1,yes,g8_science_8.6E_2019_q8,8.6(E),2019,8
14,1,yes,g8_science_7.6B_2025_q1,7.6(B),2025,1
15,2,yes,g8_science_7.6B_2025_q21; g8_science_7.6B_2025_q38,7.6(B); 7.6(B),2025; 2025,21; 38
16,1,yes,g8_science_7.6B_2024_q26,7.6(B),2024,26
17,1,yes,g8_science_7.6B_2023_q3,7.6(B),2023,3
18,1,yes,g8_science_7.6B_2022_q14,7.6(B),2022,14
19,1,yes,g8_science_7.6B_2021_q17,7.6(B),2021,17
20,1,yes,g8_science_7.6B_2019_q17,7.6(B),2019,17
21,1,yes,g8_science_7.6B_2019_q32,7.6(B),2019,32
22,1,yes,g8_science_7.6C_2025_q3,7.6(C),2025,3
23,1,yes,g8_science_7.6C_2025_q29,7.6(C),2025,29
24,1,yes,g8_science_7.6C_2024_q4,7.6(C),2024,4
25,2,yes,g8_science_7.6C_2021_q25; g8_science_7.6C_2019_q42,7.6(C); 7.6(C),2021; 2019,25; 42
26,0,no,,,,
27,1,yes,g8_science_6.6C_2025_q10,6.6(C),2025,10
28,1,yes,g8_science_6.6C_2023_q24,6.6(C),2023,24
29,1,yes,g8_science_6.6C_2022_q42,6.6(C),2022,42
30,1,yes,g8_science_6.6C_2021_q14,6.6(C),2021,14
31,1,yes,g8_science_6.6C_2019_q10,6.6(C),2019,10
32,0,no,,,,
33,1,yes,g8_science_8.7A_2025_q13,8.7(A),2025,13
34,1,yes,g8_science_8.7A_2022_q11,8.7(A),2022,11
35,1,yes,g8_science_8.7A_2022_q33,8.7(A),2022,33
36,1,yes,g8_science_8.7A_2021_q6,8.7(A),2021,6
37,1,yes,g8_science_8.7A_2021_q20,8.7(A),2021,20
38,1,yes,g8_science_8.7A_2019_q6,8.7(A),2019,6
39,1,yes,g8_science_8.7A_2019_q36,8.7(A),2019,36
40,1,yes,g8_science_8.7B_2025_q5,8.7(B),2025,5
41,1,yes,g8_science_8.7B_2025_q12,8.7(B),2025,12
42,1,yes,g8_science_8.7B_2025_q36,8.7(B),2025,36
43,1,yes,g8_science_8.7B_2024_q3,8.7(B),2024,3
44,1,yes,g8_science_8.7B_2024_q22,8.7(B),2024,22
45,1,yes,g8_science_8.7B_2023_q2,8.7(B),2023,2
46,1,yes,g8_science_8.7B_2023_q32,8.7(B),2023,32
47,1,yes,g8_science_8.7B_2022_q6,8.7(B),2022,6
48,1,yes,g8_science_8.7B_2022_q38,8.7(B),2022,38
49,1,yes,g8_science_8.7B_2021_q2,8.7(B),2021,2
50,1,yes,g8_science_8.7B_2021_q28,8.7(B),2021,28
51,1,yes,g8_science_8.7B_2019_q16,8.7(B),2019,16
52,1,yes,g8_science_8.7B_2019_q41,8.7(B),2019,41
53,1,yes,g8_science_7.7A_2025_q23,7.7(A),2025,23
54,1,yes,g8_science_7.7A_2023_q37,7.7(A),2023,37
