page_number,segment_count,has_items,item_ids,standards,years,question_numbers
1,0,no,,,,
2,0,no,,,,
3,0,no,,,,
4,1,yes,g4_math_4.2A_2025_q19,4.2(A),2025,19
5,1,yes,g4_math_4.2A_2024_q2,4.2(A),2024,2
6,2,yes,g4_math_4.2A_2023_q4; g4_math_4.2A_2018_q13,4.2(A); 4.2(A),2023; 2018,4; 13
7,1,yes,g4_math_4.2A_2015_q1,4.2(A),2015,1
8,1,yes,g4_math_4.2B_2025_q5,4.2(B),2025,5
9,1,yes,g4_math_4.2B_2025_q17,4.2(B),2025,17
10,1,yes,g4_math_4.2B_2024_q11,4.2(B),2024,11
11,1,yes,g4_math_4.2B_2024_q26,4.2(B),2024,26
12,1,yes,g4_math_4.2B_2023_q2,4.2(B),2023,2
13,2,yes,g4_math_4.2B_2023_q17; g4_math_4.2B_2022_q2,4.2(B); 4.2(B),2023; 2022,17; 2
14,2,yes,g4_math_4.2B_2022_q25; g4_math_4.2B_2021_q3,4.2(B); 4.2(B),2022; 2021,25; 3
15,2,yes,g4_math_4.2B_2021_q24; g4_math_4.2B_2019_q1,4.2(B); 4.2(B),2021; 2019,24; 1
16,2,yes,g4_math_4.2B_2019_q17; g4_math_4.2B_2018_q2,4.2(B); 4.2(B),2019; 2018,17; 2
17,1,yes,g4_math_4.2B_2018_q20,4.2(B),2018,20
18,1,yes,g4_math_4.2B_2017_q3,4.2(B),2017,3
19,2,yes,g4_math_4.2B_2017_q27; g4_math_4.2B_2016_q16,4.2(B); 4.2(B),2017; 2016,27; 16
20,2,yes,g4_math_4.2B_2016_q42; g4_math_4.2B_2015_q2,4.2(B); 4.2(B),2016; 2015,42; 2
21,1,yes,g4_math_4.2E_2021_q20,4.2(E),2021,20
22,1,yes,g4_math_4.2E_2018_q5,4.2(E),2018,5
23,1,yes,g4_math_4.2E_2016_q31,4.2(E),2016,31
24,1,yes,g4_math_4.2H_2022_q9,4.2(H),2022,9
25,1,yes,g4_math_4.2H_2019_q29,4.2(H),2019,29
26,1,yes,g4_math_4.2H_2016_q48,4.2(H),2016,48
27,1,yes,g4_math_4.3G_2025_q15,4.3(G),2025,15
28,2,yes,g4_math_4.3G_2021_q6; g4_math_4.3G_2017_q12,4.3(G); 4.3(G),2021; 2017,6; 12
29,0,no,,,,
30,1,yes,g4_math_4.2C_2024_q20,4.2(C),2024,20
31,2,yes,g4_math_4.2C_2017_q30; g4_math_4.2C_2016_q9,4.2(C); 4.2(C),2017; 2016,30; 9
32,0,no,,,,
33,1,yes,g4_math_4.2F_2022_q19,4.2(F),2022,19
34,1,yes,g4_math_4.2F_2016_q27,4.2(F),2016,27
35,1,yes,g4_math_4.4A_2025_q18,4.4(A),2025,18
36,1,yes,g4_math_4.4A_2024_q19,4.4(A),2024,19
37,1,yes,g4_math_4.4A_2023_q14,4.4(A),2023,14
38,2,yes,g4_math_4.4A_2022_q7; g4_math_4.4A_2021_q4,4.4(A); 4.4(A),2022; 2021,7; 4
39,1,yes,g4_math_4.4A_2021_q21,4.4(A),2021,21
40,1,yes,g4_math_4.4A_2019_q20,4.4(A),2019,20
41,1,yes,g4_math_4.4A_2018_q3,4.4(A),2018,3
42,2,yes,g4_math_4.4A_2018_q24; g4_math_4.4A_2017_q21,4.4(A); 4.4(A),2018; 2017,24; 21
43,1,yes,g4_math_4.4A_2016_q15,4.4(A),2016,15
44,2,yes,g4_math_4.4A_2016_q34; g4_math_4.4A_2015_q10,4.4(A); 4.4(A),2016; 2015,34; 10
45,0,no,,,,
46,0,no,,,,
47,1,yes,g4_math_4.3A_2019_q34,4.3(A),2019,34
48,1,yes,g4_math_4.3A_2016_q6,4.3(A),2016,6
